Date,Open,High,Low,Close,Adj Close,Volume,3days_before_change
2020-06-10,26.930000,27.450001,26.070000,26.469999,26.469999,1534200,0.9771132890365449
2020-06-11,25.700001,25.750000,23.910000,24.350000,24.350000,1509600,0.8333333618526133
2020-06-12,24.959999,25.570000,23.940001,24.770000,24.770000,1294000,0.8600694743079679
2020-06-15,24.520000,27.129999,24.400000,27.090000,27.090000,2012700,0.8738709677419355
2020-06-16,27.549999,29.230000,27.150000,29.219999,29.219999,2158000,0.9555264551994769
2020-06-17,29.299999,29.490000,28.170000,28.799999,28.799999,2211000,0.9341550113525787
2020-06-18,28.930000,31.000000,28.820000,31.000000,31.000000,2129300,1.0547805734869198
2020-06-19,32.689999,32.689999,30.139999,30.580000,30.580000,2086100,1.0595980228829514
2020-06-22,30.270000,31.280001,29.230000,30.830000,30.830000,4209100,1.0649395141644382
2020-06-23,31.000000,31.320000,28.780001,29.389999,29.389999,5139300,1.0096186187008376
2020-06-24,29.000000,30.004999,28.320000,28.860001,28.860001,2132100,1.0307143214285714
2020-06-25,29.059999,29.520000,28.309999,28.950001,28.950001,1637400,1.0115303979199721
2020-06-26,29.010000,30.309999,28.879999,29.110001,29.110001,4589900,0.9768457039209968
2020-06-29,29.049999,29.049999,27.500000,28.000000,28.000000,1739500,0.9330223258913695
2020-06-30,28.190001,28.860001,27.889999,28.620001,28.620001,1287000,0.9639609308197733
2020-07-01,28.620001,30.219999,28.500000,29.799999,29.799999,1714500,1.0020174512441158
2020-07-02,30.209999,30.739000,29.910000,30.010000,30.010000,1633900,0.9983366932247736
2020-07-06,30.280001,30.620001,29.500000,29.690001,29.690001,2424300,0.987034607712766
2020-07-07,29.799999,30.240000,29.420000,29.740000,29.740000,1077500,1.053862546203492
2020-07-08,29.840000,30.125000,29.129999,30.059999,30.059999,1044100,1.1710167121153097
